id,street,street_type,zip,address,latitude,longitude
924,Rutland,St,94134,"924 Rutland St, San Francisco, CA 94134, USA",37.711046,-122.408417
2131,29th,Ave,94116,"2131 29th Ave, San Francisco, CA 94116, USA",37.747548,-122.48708
61,Pomona,St,94124,"61 Pomona St, San Francisco, CA 94124, USA",37.731457,-122.393226
1715,18th,Ave,94122,"1715 18th Ave, San Francisco, CA 94122, USA",37.755795,-122.475757
241,Montalvo,Ave,94116,"241 Montalvo Ave, San Francisco, CA 94116, USA",37.7441381,-122.4639518
342,Staples,Ave,94112,"342 Staples Ave, San Francisco, CA 94112, USA",37.72932,-122.449836
2666,17th,Ave,94116,"2666 17th Ave, San Francisco, CA 94116, USA",37.738189,-122.472877
3375,Jackson,St,94118,"3375 Jackson St, San Francisco, CA 94118, USA",37.790187,-122.450343
2240,27th,Ave,94116,"2240 27th Ave, San Francisco, CA 94116, USA",37.745589,-122.48414
1279,Union,St,94109,"1279 Union St, San Francisco, CA 94109, USA",37.798856,-122.420261
265,Arkansas,St,94107,"265 Arkansas St, San Francisco, CA 94107, USA",37.762942,-122.398194
233,Lisbon,St,94112,"233 Lisbon St, San Francisco, CA 94112, USA",37.724416,-122.431433
2466,21st,Ave,94116,"2466 21st Ave, San Francisco, CA 94116, USA",37.741718,-122.477418
638,Head,St,94132,"638 Head St, San Francisco, CA 94132, USA",37.718645,-122.464171
40,Britton,St,94134,"40 Britton St, San Francisco, CA 94134, USA",37.71337,-122.412541
3630,17th,St,94114,"3630 17th St, San Francisco, CA 94114, USA",37.7632,-122.427027
4166,20th,St,94114,"4166 20th St, San Francisco, CA 94114, USA",37.75793,-122.434016
1970,15th,St,94114,"1970 15th St, San Francisco, CA 94114, USA",37.766405,-122.428226
1229,De Haro,St,94107,"1229 De Haro St, San Francisco, CA 94107, USA",37.754153,-122.400268
28,Hillway,Ave,94117,"28 Hillway Ave, San Francisco, CA 94117, USA",37.764543,-122.456446
1333,20th,Ave,94122,"1333 20th Ave, San Francisco, CA 94122, USA",37.7628597,-122.4781789
60,Pleasant,St,94108,"60 Pleasant St, San Francisco, CA 94108, USA",37.792997,-122.413742
4218,26th,St,94131,"4218 26th St, San Francisco, CA 94131, USA",37.748297,-122.434499
2610,18th,Ave,94116,"2610 18th Ave, San Francisco, CA 94116, USA",37.7391,-122.47407
2567,22nd,Ave,94116,"2567 22nd Ave, San Francisco, CA 94116, USA",37.739807,-122.479017
3001,22nd,St,94110,"3001 22nd St, San Francisco, CA 94110, USA",37.755549,-122.414684
241,Shipley,St,94107,"241 Shipley St, San Francisco, CA 94107, USA",37.778987,-122.403633
2687,22nd,St,94110,"2687 22nd St, San Francisco, CA 94110, USA",37.755844,-122.408241
1275,Egbert,Ave,94124,"1275 Egbert Ave, San Francisco, CA 94124, USA",37.721174,-122.390527
